날짜,지역,최저온도,최고온도,강수량,증발,풍향,풍속,습도,기압,구름,온도,금일 비 여부,내일 비 여부
2015-06-22,Albury,-1.2,11.3,0,NA,ESE,7,74,1026.4,3,10.6,No,No
2015-06-23,Albury,1.4,16.8,0,NA,ENE,15,58,1021.9,8,15.8,No,Yes
2015-06-24,Albury,7,14,7.2,NA,SSE,11,91,1020.6,8,13.6,Yes,No
2015-06-25,Albury,8.2,13.4,1,NA,NNE,7,76,1026.8,4,12.2,No,No
2015-06-26,Albury,1.8,14.3,0.2,NA,E,6,69,1032,NA,13.9,No,No
2015-06-27,Albury,2.3,13.2,0,NA,SE,6,68,1032.2,5,11.3,No,No
2015-06-28,Albury,5.6,12.4,0.2,NA,ENE,7,65,1032.8,1,11,No,No
2015-06-29,Albury,0.4,15,0,NA,SSE,6,66,1030.1,NA,12.8,No,No
2015-06-30,Albury,1,8.6,0,NA,WSW,7,85,1028,8,8.2,No,No
2015-07-01,Albury,2.9,10.6,0,NA,NNW,6,68,1026.1,NA,10.1,No,No
2015-07-02,Albury,4.6,12.1,0.8,NA,SW,28,52,1022.1,1,11.3,No,No
2015-07-03,Albury,-2.1,11,0.8,NA,NNW,13,46,1026.7,4,10.8,No,No
2015-07-04,Albury,1.1,11.6,0,NA,W,13,56,1023.8,8,10.3,No,No
2015-07-05,Albury,0.7,11.8,0,NA,NW,6,59,1020.8,8,11.6,No,No
2015-07-06,Albury,3.6,10,0,NA,WSW,9,70,1017.8,8,9.7,No,No
2015-07-07,Albury,4.8,14.8,0,NA,ESE,4,54,1022,NA,13.7,No,No
2015-07-08,Albury,0.1,14.8,0,NA,E,6,55,1026.8,NA,14.1,No,No
2015-07-09,Albury,-0.5,13.2,0,NA,SE,11,61,1025.3,2,12.6,No,Yes
2015-07-10,Albury,3.3,14.2,1.8,NA,NNE,13,69,1017.2,8,13,Yes,Yes
2015-07-11,Albury,8,13.9,2.4,NA,N,19,80,1005.2,8,12.5,Yes,Yes
2015-07-12,Albury,5.1,11.3,5.4,NA,W,17,81,1004.3,8,8.6,Yes,Yes
2015-07-13,Albury,5.9,13.7,2.8,NA,W,30,64,1009.1,NA,11.8,Yes,No
2015-07-14,Albury,5,9.1,0,NA,NW,17,63,1014.1,8,7.6,No,Yes
2015-07-15,Albury,4.4,6.8,10,NA,SSE,11,93,1017.1,8,6.4,Yes,Yes
2015-07-16,Albury,2.9,11.9,4.4,NA,WSW,11,67,1017.3,NA,10.5,Yes,No
2015-07-17,Albury,-1.4,11.5,0.2,NA,WSW,20,66,1019.3,3,10.4,No,No
2015-07-18,Albury,-1.6,12.4,0,NA,SSE,7,46,1028.9,NA,11.8,No,No
2015-07-19,Albury,-1.5,13,0,NA,SE,9,52,1032.1,NA,12.4,No,No
2015-07-20,Albury,-1.6,13.7,0,NA,E,7,58,1031.5,NA,13.5,No,No
2015-07-21,Albury,-0.3,15.9,0,NA,NE,19,56,1026.3,7,15.2,No,Yes
2015-07-22,Albury,4.5,13.5,3,NA,N,19,83,1022.5,8,12.1,Yes,Yes
2015-07-23,Albury,7.5,16.9,2.8,NA,ENE,2,58,1023.4,NA,16.7,Yes,No
2015-07-24,Albury,2.2,12.8,0.2,NA,N,13,88,1012.9,8,12,No,Yes
2015-07-25,Albury,6.5,13.6,5.8,NA,NNW,24,55,1017.1,1,12.8,Yes,Yes
2015-07-26,Albury,8.2,11.8,3,NA,W,33,55,1017.1,8,11,Yes,No
2015-07-27,Albury,0.7,9.5,0,NA,WNW,15,70,1029.3,8,9.2,No,No
2015-07-28,Albury,1.4,13.8,0,NA,WSW,13,67,1033.5,8,12.5,No,No
2015-07-29,Albury,1,12.2,0,NA,ENE,2,73,1031.2,8,11.2,No,No
2015-07-30,Albury,3.3,12.5,0,NA,NNW,19,64,1021.1,8,11.9,No,No
2015-07-31,Albury,7.2,13.8,0.2,NA,N,11,55,1019.8,NA,13.6,No,Yes
2015-08-01,Albury,3.8,10.3,1.2,NA,NA,0,98,1014.8,7,10.2,Yes,Yes
2015-08-02,Albury,7.2,11.9,27.2,NA,WSW,20,60,1014.6,8,11.2,Yes,Yes
2015-08-03,Albury,7.5,11.7,2.6,NA,WSW,26,51,1018.6,NA,11,Yes,Yes
2015-08-04,Albury,-2.4,8.6,1.4,NA,WNW,19,55,1021.9,8,7.7,Yes,Yes
2015-08-05,Albury,2.2,11.5,4.2,NA,W,22,71,1012.2,2,10.9,Yes,Yes
2015-08-06,Albury,2,10.9,1.4,NA,WNW,13,73,1020.6,8,10.2,Yes,Yes
2015-08-07,Albury,5,12.6,1.4,NA,W,9,67,1023.7,8,12.1,Yes,No
2015-08-08,Albury,1.3,14,0,NA,WNW,9,64,1023.3,1,13.3,No,No
2015-08-09,Albury,0.8,11,0,NA,E,9,74,1019.8,8,10.8,No,No
2015-08-10,Albury,3.8,15.1,0,NA,NNW,19,58,1011.6,8,14.3,No,Yes
2015-08-11,Albury,3,14.2,1.8,NA,NNW,15,53,1011.9,8,14,Yes,No
2015-08-12,Albury,1.8,9,0,NA,ENE,9,86,1005,8,7.3,No,Yes
2015-08-13,Albury,1.7,12.3,5.4,NA,W,15,78,1020.1,8,11,Yes,No
2015-08-14,Albury,4.2,12.8,0,NA,NE,7,75,1026.6,8,12.5,No,No
2015-08-15,Albury,2.1,17,0,NA,S,4,52,1029.4,NA,14.7,No,No
2015-08-16,Albury,1.7,15.9,0.2,NA,WNW,19,55,1023.8,7,14.6,No,No
2015-08-17,Albury,5.5,14.2,0,NA,WNW,19,64,1015.8,5,13.4,No,No
2015-08-18,Albury,-0.9,12.7,0,NA,W,7,45,1021.9,5,12.4,No,No
2015-08-19,Albury,-0.1,13,0,NA,SSW,9,51,1025.3,NA,12,No,No
2015-08-20,Albury,0.4,16.8,0.2,NA,NNE,9,54,1025,1,16.2,No,No
2015-08-21,Albury,2,16.4,0,NA,NE,11,59,1020.1,8,16,No,Yes
2015-08-22,Albury,7.9,20.7,1.4,NA,NNW,11,52,1016,1,19.9,Yes,No
2015-08-23,Albury,8.9,17.7,0.8,NA,NNE,9,59,1018.6,8,16.9,No,No
2015-08-24,Albury,7.5,13.5,0,NA,SE,19,78,1015.7,8,12.2,No,Yes
2015-08-25,Albury,8.8,11.7,15.2,NA,S,11,91,1022.3,7,9.7,Yes,Yes
2015-08-26,Albury,5.8,15,15.2,NA,SSW,9,60,1022.2,8,14.8,Yes,Yes
2015-08-27,Albury,9.8,15.8,10.6,NA,W,31,73,1017.9,8,12.3,Yes,No
2015-08-28,Albury,4.2,16.2,0,NA,W,15,55,1021.5,2,16.1,No,No
2015-08-29,Albury,1.2,13.7,0,NA,WSW,17,46,1022.1,NA,13.6,No,No
2015-08-30,Albury,1.5,15.5,0.2,NA,WSW,9,49,1020.1,NA,15,No,No
2015-08-31,Albury,2.2,15,0,NA,NW,15,53,1016.8,NA,14.8,No,No
2015-09-01,Albury,1.1,14.9,0,NA,WNW,9,50,1015.6,NA,14.2,No,No
2015-09-02,Albury,1.9,17.6,0,NA,E,17,53,1009,NA,16.7,No,Yes
2015-09-03,Albury,7.5,17.9,23,NA,S,22,45,1011.7,NA,17,Yes,Yes
2015-09-04,Albury,3.4,17.5,1.2,NA,WNW,13,57,1021,3,15.5,Yes,No
2015-09-05,Albury,3.2,17.6,0,NA,W,11,59,1020.7,6,17.5,No,No
2015-09-06,Albury,5.2,16.4,0,NA,N,22,58,1018.7,3,16,No,Yes
2015-09-07,Albury,8.2,13.6,1.6,NA,WNW,28,53,1018,2,12.7,Yes,No
2015-09-08,Albury,6.1,14.9,1,NA,W,20,63,1018.6,3,14.1,No,No
2015-09-09,Albury,0.7,17.5,0.2,NA,WSW,26,50,1024.4,5,16.8,No,No
2015-09-10,Albury,4.9,19,0.2,NA,E,7,43,1029.5,NA,17.2,No,No
2015-09-11,Albury,3.9,19.4,0,NA,NNW,19,52,1027.7,1,19.1,No,No
2015-09-12,Albury,6,21.1,0,NA,W,11,52,1025.9,8,20.4,No,No
2015-09-13,Albury,6.6,23.2,0,NA,NE,9,45,1024.3,NA,22.9,No,No
2015-09-14,Albury,7.3,24.1,0,NA,N,20,49,1018.5,NA,23.6,No,No
2015-09-15,Albury,13.3,18,0,NA,W,28,49,1015.3,1,17.2,No,No
2015-09-16,Albury,2.5,16.7,0,NA,WNW,17,50,1016.8,3,16.1,No,No
2015-09-17,Albury,3.7,17.9,0,NA,WSW,24,45,1020.5,NA,17.5,No,No
2015-09-18,Albury,3.6,19.2,0,NA,SSE,9,44,1025,NA,18.4,No,No
2015-09-19,Albury,6.1,20.4,0,NA,NNE,11,42,1022.5,6,19.2,No,No
2015-09-20,Albury,5.6,21.5,0,NA,NE,11,52,1019.7,2,20.4,No,No
2015-09-21,Albury,6.4,20.9,0,NA,NW,17,50,1014.9,3,20.5,No,No
2015-09-22,Albury,6.2,16.3,0.2,NA,SW,20,36,1022,4,15.3,No,No
2015-09-23,Albury,-0.2,14.9,0,NA,ESE,11,38,1028.9,NA,14.6,No,No
2015-09-24,Albury,1.7,16.9,0,NA,ESE,20,44,1027.7,4,16.4,No,No
2015-09-25,Albury,2.9,19,0,NA,SE,17,39,1028.3,NA,18.6,No,No
2015-09-26,Albury,4.5,20.1,0,NA,W,9,45,1025.9,NA,19.3,No,No
2015-09-27,Albury,4.3,21.3,0,NA,W,15,50,1020.8,NA,20.7,No,No
2015-09-28,Albury,4.8,22.6,0,NA,NNW,15,37,1016.5,NA,22.1,No,No
2015-09-29,Albury,6.8,20.1,0,NA,W,20,48,1016.4,NA,19.7,No,No
2015-09-30,Albury,3.1,19.7,0,NA,NE,9,32,1020.4,NA,19,No,No
2015-10-01,Albury,3.7,21.1,0,NA,W,13,38,1026.6,NA,20.5,No,No
2015-10-02,Albury,4.8,24.6,0,NA,SW,9,37,1030.5,NA,24.5,No,No
2015-10-03,Albury,6.9,27.1,0,NA,NW,11,35,1026.1,NA,26.6,No,No
2015-10-04,Albury,9.6,29.4,0,NA,NNW,17,25,1022.1,NA,29,No,No
2015-10-05,Albury,10.1,31,0,NA,NNE,13,28,1021.4,NA,30.3,No,No
2015-10-06,Albury,10,34.1,0,NA,NNW,31,14,1016.5,NA,33.4,No,No
2015-10-07,Albury,12,24.3,0,NA,SE,17,32,1028.4,NA,23.3,No,No
2015-10-08,Albury,10.2,23.1,0,NA,SSE,11,53,1032.2,7,20.6,No,No
2015-10-09,Albury,10.3,27.8,0,NA,SSE,9,48,1028.1,NA,26.1,No,No
2015-10-10,Albury,13.2,29.7,0,NA,WNW,15,37,1024.4,NA,28,No,No
2015-10-11,Albury,15.4,22.1,0.4,NA,NNE,11,76,1019.2,8,20,No,Yes
2015-10-12,Albury,10.7,24.4,1.8,NA,W,15,42,1014,1,24,Yes,No
2015-10-13,Albury,8.7,24.2,0,NA,SE,13,45,1020,NA,22.9,No,No
2015-10-14,Albury,10,27.1,0.4,NA,ESE,11,44,1021.8,1,26.4,No,No
2015-10-15,Albury,10.5,32.4,0,NA,NNE,11,32,1018.8,NA,31.1,No,No
2015-10-16,Albury,13.1,29.6,0,NA,S,15,52,1019.2,7,25.8,No,No
2015-10-17,Albury,16,29,0,NA,W,20,46,1022.8,8,25.3,No,No
2015-10-18,Albury,8.6,27.5,0,NA,SE,11,40,1024.1,NA,26.2,No,No
2015-10-19,Albury,8.3,29.2,0,NA,SSE,13,44,1019.9,NA,27.9,No,No
2015-10-20,Albury,11.3,31.8,0,NA,NNW,7,31,1013.7,8,30.3,No,Yes
2015-10-21,Albury,16.6,24.7,1.6,NA,N,26,66,1011,8,22.2,Yes,No
2015-10-22,Albury,13.3,25.2,0.8,NA,ESE,17,44,1013.2,2,24.4,No,No
2015-10-23,Albury,14.1,24.6,0.2,NA,NE,9,41,1018.5,8,22.5,No,No
2015-10-24,Albury,10.3,26.6,0,NA,ESE,9,34,1018.6,3,24.5,No,No
2015-10-25,Albury,10,30.5,0,NA,N,6,20,1015.4,NA,29.7,No,No
2015-10-26,Albury,17.4,25.9,0,NA,W,22,41,1014.2,1,24.9,No,No
2015-10-27,Albury,13.6,25.3,0,NA,SE,17,30,1021.9,NA,23.8,No,No
2015-10-28,Albury,6.2,25.5,0,NA,SSW,11,29,1019.5,NA,23.6,No,No
2015-10-29,Albury,9.3,27.9,0,NA,SSE,15,22,1018.7,NA,27.2,No,No
2015-10-30,Albury,9.7,28.1,0,NA,E,17,36,1016.7,7,27.2,No,Yes
2015-10-31,Albury,17.1,21.7,5.4,NA,NE,19,77,1015.1,8,19.2,Yes,Yes
2015-11-01,Albury,15,27.3,15.2,NA,NE,19,50,1006.6,8,26,Yes,Yes
2015-11-02,Albury,15.9,27.1,22.8,NA,W,24,43,1009.7,6,25.1,Yes,No
2015-11-03,Albury,12.3,26.8,0.2,NA,NW,15,35,1014.1,NA,26.1,No,No
2015-11-04,Albury,14.7,28.7,0,NA,NNE,22,47,1011.4,NA,27.2,No,Yes
2015-11-05,Albury,16.6,21.6,6.6,NA,NNE,17,83,1006,8,20.6,Yes,Yes
2015-11-06,Albury,15.2,25.1,4.2,NA,W,17,59,1006.9,4,24.4,Yes,Yes
2015-11-07,Albury,12.1,23.4,1.8,NA,WSW,20,43,1013.3,1,22.2,Yes,No
2015-11-08,Albury,9.2,25.7,0,NA,SSW,7,32,1018.3,NA,24.3,No,No
2015-11-09,Albury,12,29.6,0,NA,SE,11,37,1015.7,NA,27.4,No,No
2015-11-10,Albury,15.8,32.3,0,NA,WNW,17,31,1012.4,1,31.4,No,No
2015-11-11,Albury,17.8,28.3,0,NA,NNE,20,46,1015.7,8,26.6,No,Yes
2015-11-12,Albury,17.9,28.2,10.6,NA,NW,22,49,1012,8,26.3,Yes,Yes
2015-11-13,Albury,15.9,27.5,4.8,NA,SW,24,33,1009.9,NA,26.4,Yes,No
2015-11-14,Albury,13.8,26.2,0,NA,SSW,13,39,1011.1,NA,24.3,No,No
2015-11-15,Albury,12.4,25.9,0,NA,E,20,33,1015.9,NA,23.6,No,No
2015-11-16,Albury,11.6,26.7,0,NA,SW,11,36,1016.4,1,25.5,No,No
2015-11-17,Albury,12.3,31,0,NA,WSW,7,25,1013.2,4,29.6,No,No
2015-11-18,Albury,13.3,33.5,0,NA,W,20,21,1011,NA,32.3,No,No
2015-11-19,Albury,18.1,37.2,0,NA,WNW,13,25,1011.2,NA,36.4,No,No
2015-11-20,Albury,17.8,34.3,0,NA,SW,24,28,1006.7,7,32.9,No,No
2015-11-21,Albury,12.4,26.6,0,NA,SE,9,30,1016.1,NA,24.9,No,No
2015-11-22,Albury,9.6,28.3,0,NA,WNW,11,31,1013.1,NA,27.2,No,No
2015-11-23,Albury,9.9,26.7,0,NA,W,20,27,1012.5,NA,25.7,No,No
2015-11-24,Albury,10.2,28.7,0,NA,SSW,13,25,1012.7,NA,27.3,No,No
2015-11-25,Albury,10,33.8,0,NA,NNW,31,13,1003.8,NA,32.5,No,No
2015-11-26,Albury,17.9,21.3,0,NA,W,28,24,1008.2,NA,19.9,No,No
2015-11-27,Albury,5.7,21.8,0,NA,WSW,17,28,1015.6,NA,20.4,No,No
2015-11-28,Albury,8.1,28.3,0,NA,NNW,7,25,1012.7,NA,26.7,No,No
2015-11-29,Albury,12.2,27,0,NA,W,19,27,1010.2,8,25.6,No,No
2015-11-30,Albury,10,31.6,0,NA,NNW,13,21,1007.9,NA,29.6,No,No
2015-12-01,Albury,17.7,30.1,0,NA,W,26,28,1006.6,5,27.3,No,No
2015-12-02,Albury,9.9,22.5,0.2,NA,W,19,23,1019,NA,21.4,No,No
2015-12-03,Albury,9.6,29.3,0,NA,SW,9,24,1022.4,NA,27,No,No
2015-12-04,Albury,13.4,32,0,NA,NNE,11,25,1020,NA,30.2,No,No
2015-12-05,Albury,14.4,34.1,0,NA,SSE,9,18,1016.9,7,33.3,No,No
2015-12-06,Albury,17.9,36.5,0,NA,S,17,16,1014,8,34.5,No,No
2015-12-07,Albury,21.6,33.6,0,NA,SE,13,35,1013.5,7,30.5,No,No
2015-12-08,Albury,21.1,30.7,0.8,NA,N,24,58,1011.4,7,26.7,No,Yes
2015-12-09,Albury,19.7,30.7,10.2,NA,W,19,25,1012.6,NA,29.6,Yes,No
2015-12-10,Albury,14.2,31.5,0,NA,W,31,21,1010.4,2,29.9,No,No
2015-12-11,Albury,15.3,27,0,NA,W,33,22,1006.4,NA,25.9,No,No
2015-12-12,Albury,8.9,24.6,0,NA,WSW,15,25,1014.3,7,22.8,No,No
2015-12-13,Albury,9.4,27.9,0,NA,SE,11,22,1014.4,5,26.1,No,No
2015-12-14,Albury,11.3,34.8,0,NA,SSW,9,12,1011.7,NA,32.8,No,No
2015-12-15,Albury,15.6,33.2,0,NA,ESE,11,19,1012.4,6,30.8,No,No
2015-12-16,Albury,15.5,34.3,0,NA,SSE,15,17,1011.2,NA,33.4,No,No
2015-12-17,Albury,16.7,34.1,0,NA,SSE,15,24,1013,NA,32.8,No,No
2015-12-18,Albury,16.5,37.1,0,NA,W,9,19,1011.5,NA,35.4,No,No
2015-12-19,Albury,20.8,40,0,NA,NW,11,17,1008.7,1,38.8,No,No
2015-12-20,Albury,19.7,41.5,0,NA,NW,41,13,1002.3,1,39.5,No,Yes
2015-12-21,Albury,18,25.3,10,NA,NW,9,40,1017.1,NA,24.1,Yes,No
2015-12-22,Albury,17,30.3,0,NA,SW,11,36,1016.8,8,28.1,No,No
2015-12-23,Albury,17.7,30,0,NA,NW,6,35,1014.6,NA,28.3,No,No
2015-12-24,Albury,15.3,31.6,0,NA,ESE,13,26,1013.7,NA,29.5,No,No
2015-12-25,Albury,17.7,32,0,NA,NE,13,20,1008.9,NA,30.2,No,Yes
2015-12-26,Albury,18.8,23.1,3.2,NA,WNW,24,71,1005.1,7,19.8,Yes,Yes
2015-12-27,Albury,10.2,25,9.8,NA,ESE,13,30,1018.7,NA,22.7,Yes,No
2015-12-28,Albury,12.8,28.2,0,NA,WSW,13,29,1021,NA,26.5,No,No
2015-12-29,Albury,13.2,32.3,0,NA,W,11,28,1018.3,NA,29.8,No,No
2015-12-30,Albury,15.7,34.3,0,NA,NW,7,20,1014.9,NA,33.1,No,No
2015-12-31,Albury,17.3,36.6,0,NA,SSW,13,17,1012.6,3,35.1,No,No
2016-01-01,Albury,20.4,37.6,0,NA,ESE,7,17,1009.2,3,36.7,No,No
2016-01-02,Albury,20.9,33.6,0.4,NA,SE,17,30,1008.4,8,31.7,No,Yes
2016-01-03,Albury,18.4,23.1,2.2,NA,ENE,39,67,1014.8,8,19.5,Yes,Yes
2016-01-04,Albury,17.3,23.7,15.6,NA,SSE,17,65,1016.5,8,21.6,Yes,Yes
2016-01-05,Albury,15.5,22.9,6.8,NA,SSE,9,63,1013.9,8,22.2,Yes,No
2016-01-06,Albury,17,28.1,0.2,NA,ENE,11,52,1012.6,8,25.7,No,No
2016-01-07,Albury,16.4,28,0,NA,ESE,20,31,1015.7,2,26.6,No,No
2016-01-08,Albury,14.3,31.7,0,NA,ENE,6,24,1017.2,8,28.7,No,No
2016-01-09,Albury,16.7,35,0,NA,SSE,9,24,1015.5,3,33.1,No,No
2016-01-10,Albury,17.8,37,0,NA,WNW,17,17,1012.6,NA,36.2,No,No
2016-01-11,Albury,17.7,39.2,0,NA,W,7,13,1007.5,8,37,No,No
2016-01-12,Albury,20.6,38.9,0,NA,W,24,18,1009.8,NA,37.6,No,No
2016-01-13,Albury,20.2,43,0,NA,N,24,16,1007.5,NA,42.3,No,No
2016-01-14,Albury,26.8,30.2,0,NA,SW,24,39,1015.5,8,21.4,No,No
2016-01-15,Albury,10.4,25.2,0,NA,SE,20,31,1023.8,NA,23.9,No,No
2016-01-16,Albury,10.7,29.4,0,NA,S,9,19,1022.9,NA,27.3,No,No
2016-01-17,Albury,14.5,30.6,0,NA,SSE,4,31,1019.6,3,28.1,No,No
2016-01-18,Albury,14.4,33.5,0,NA,E,15,22,1014.7,NA,31.9,No,No
2016-01-19,Albury,16.1,40,0,NA,NW,19,15,1009.4,5,37.6,No,No
2016-01-20,Albury,23.4,33.9,0,NA,SE,7,24,1009.3,8,31.5,No,No
2016-01-21,Albury,20.4,38,0,NA,WNW,35,22,1007.2,8,33.4,No,No
2016-01-22,Albury,22.8,28.1,0,NA,W,2,89,1007.4,8,21.7,No,Yes
2016-01-23,Albury,17,31.3,12.6,NA,W,20,40,1008.1,1,31,Yes,No
2016-01-24,Albury,16.6,33.2,0,NA,SSW,17,30,1008.3,NA,31.2,No,No
2016-01-25,Albury,18.1,32.8,0,NA,SSW,11,30,1009.6,1,30.5,No,No
2016-01-26,Albury,18.7,34.2,0,NA,SSE,11,33,1012.3,1,32,No,Yes
2016-01-27,Albury,18.5,25.7,19.4,NA,E,17,65,1010.5,8,23.2,Yes,Yes
2016-01-28,Albury,17.7,31.7,4.2,NA,NE,13,47,1002.8,1,30.4,Yes,No
2016-01-29,Albury,17.1,24.2,0,NA,WNW,24,72,1003.4,7,16.1,No,No
2016-01-30,Albury,10,28.1,0,NA,SSW,9,26,1000.8,NA,27.1,No,Yes
2016-01-31,Albury,13.8,24.2,7,NA,NNW,26,48,1002.2,6,22.5,Yes,Yes
2016-02-01,Albury,13,26.1,28.6,NA,SW,13,47,1003.2,2,24.2,Yes,No
2016-02-02,Albury,14.4,29.7,0.2,NA,NW,7,37,1003.2,1,28,No,No
2016-02-03,Albury,19.8,25.8,0,NA,E,13,74,1004.4,8,22.6,No,No
2016-02-04,Albury,16.5,29.8,0.4,NA,SE,20,32,1012.3,NA,28.4,No,No
2016-02-05,Albury,14.2,29.9,0,NA,SE,11,34,1015.8,NA,27,No,No
2016-02-06,Albury,14.6,30.3,0,NA,E,13,34,1014.7,4,28.1,No,No
2016-02-07,Albury,15.2,32.8,0,NA,WSW,15,37,1014.9,NA,30.7,No,No
2016-02-08,Albury,18,35.2,0,NA,WSW,9,32,1016,NA,33.8,No,No
2016-02-09,Albury,18.8,35,0,NA,NNE,11,31,1015.6,NA,33.3,No,No
2016-02-10,Albury,15.7,35,0,NA,WSW,20,22,1010.2,NA,33.9,No,No
2016-02-11,Albury,17.3,35.2,0,NA,SE,9,23,1010.4,NA,33.6,No,No
2016-02-12,Albury,17.3,34.9,0,NA,NW,11,23,1011.6,2,33.3,No,No
2016-02-13,Albury,16.9,37.7,0,NA,N,7,16,1007.3,NA,35.8,No,No
2016-02-14,Albury,22.3,30.3,0,NA,WSW,20,27,1008.2,NA,28.9,No,No
2016-02-15,Albury,13.8,28.9,0,NA,WSW,19,27,1009,NA,27.9,No,No
2016-02-16,Albury,15.2,26.3,0,NA,W,26,24,1009.8,NA,24.8,No,No
2016-02-17,Albury,10.5,26.7,0,NA,W,15,34,1010,1,24.1,No,No
2016-02-18,Albury,12.7,30.5,0,NA,WSW,13,32,1006.8,NA,28.7,No,No
2016-02-19,Albury,13.9,32.9,0,NA,NW,20,24,1009.7,NA,31.1,No,No
2016-02-20,Albury,15.2,31.2,0,NA,WSW,17,28,1016.6,NA,30.2,No,No
2016-02-21,Albury,13.6,34.4,0,NA,NW,11,22,1020.5,NA,33.5,No,No
2016-02-22,Albury,15.2,35.4,0,NA,SW,13,30,1019.6,1,34.1,No,No
2016-02-23,Albury,20.1,39.5,0,NA,NNW,20,19,1013.3,NA,38.4,No,No
2016-02-24,Albury,22.5,40.9,0,NA,NNW,30,15,1008.1,1,40.1,No,No
2016-02-25,Albury,22.4,36.4,0,NA,WSW,15,36,1009.1,7,32.3,No,No
2016-02-26,Albury,14.9,31.2,0.2,NA,W,19,19,1014.7,NA,29.9,No,No
2016-02-27,Albury,14.7,33.1,0,NA,SSW,13,28,1015.6,NA,32.3,No,No
2016-02-28,Albury,16.2,33.4,0,NA,WSW,15,21,1015.1,NA,31.3,No,No
2016-02-29,Albury,15.4,32.3,0,NA,S,15,34,1016.5,NA,30.3,No,No
2016-03-01,Albury,14.7,35.1,0,NA,WNW,13,21,1016.1,NA,33.7,No,No
2016-03-02,Albury,16.8,37.2,0,NA,WNW,11,10,1015.9,NA,36.4,No,No
2016-03-03,Albury,16.7,35,0,NA,E,7,24,1016.2,8,33.2,No,No
2016-03-04,Albury,15.9,37,0,NA,S,7,22,1016.1,NA,36.3,No,No
2016-03-05,Albury,20.3,38.5,0,NA,SW,9,23,1016.5,NA,37.5,No,No
2016-03-06,Albury,20.5,37.1,0,NA,SSE,11,29,1017.2,8,34.1,No,No
2016-03-07,Albury,17.4,38.5,0.2,NA,S,9,22,1016.7,NA,36.5,No,No
2016-03-08,Albury,20.1,38.3,0,NA,NNW,11,14,1017.2,NA,37,No,No
2016-03-09,Albury,18.7,38.3,0,NA,WNW,20,24,1015.4,2,35.2,No,No
2016-03-10,Albury,24.6,36.8,0,NA,SE,9,27,1015,5,35.5,No,No
2016-03-11,Albury,20,32.3,0.6,NA,NE,20,43,1015.1,8,30.6,No,Yes
2016-03-12,Albury,20,34,6.6,NA,E,7,45,1016.9,4,32.5,Yes,No
2016-03-13,Albury,19.4,35.2,0.2,NA,W,13,26,1015.1,NA,33.5,No,No
2016-03-14,Albury,18,35.1,0,NA,SW,22,21,1013.7,NA,33.8,No,No
2016-03-15,Albury,20.4,31.8,0,NA,SSE,15,35,1015.4,NA,30,No,No
2016-03-16,Albury,19.2,30.8,0,NA,ENE,11,30,1015.5,NA,30.1,No,No
2016-03-17,Albury,16,31.1,0.4,NA,SSE,11,35,1010.3,NA,28.8,No,Yes
2016-03-18,Albury,19.8,21.1,10.4,NA,W,37,55,1000.3,1,19.9,Yes,Yes
2016-03-19,Albury,9.5,21.1,10.4,NA,WSW,13,38,1013.4,8,19.4,Yes,No
2016-03-20,Albury,12.7,24.2,0,NA,S,17,29,1016.5,1,23,No,No
2016-03-21,Albury,12.4,25.2,0,NA,SE,19,34,1016.5,NA,24,No,No
2016-03-22,Albury,11,26.5,0,NA,E,9,34,1015.6,NA,24.9,No,No
2016-03-23,Albury,10,27.1,0,NA,W,13,31,1017.1,NA,25.4,No,No
2016-03-24,Albury,14.2,25.1,0,NA,SSE,13,47,1017.8,6,24.3,No,No
2016-03-25,Albury,15.5,28.4,0.2,NA,W,22,39,1015.9,1,26.9,No,No
2016-03-26,Albury,8.9,26.4,0,NA,WSW,11,32,1016.3,NA,25.3,No,No
2016-03-27,Albury,10,27.4,0,NA,NNW,9,31,1015.6,NA,26.2,No,No
2016-03-28,Albury,11.7,27.8,0,NA,WNW,15,31,1014,NA,26.9,No,No
2016-03-29,Albury,13.8,26.2,0,NA,W,11,27,1014.9,NA,25.5,No,No
2016-03-30,Albury,11.8,20.4,0.8,NA,SE,15,66,1016.1,6,17.9,No,No
2016-03-31,Albury,9.5,25.5,0,NA,S,11,42,1016.4,NA,23.1,No,No
2016-04-01,Albury,9.2,27,0,NA,N,17,22,1015,NA,26,No,No
2016-04-02,Albury,8.6,30,0,NA,W,19,21,1015.2,NA,29.1,No,No
2016-04-03,Albury,7.6,26.5,0,NA,WNW,6,29,1020.4,NA,26.2,No,No
2016-04-04,Albury,9.7,28.8,0,NA,S,9,35,1016.5,NA,27.1,No,No
2016-04-05,Albury,10.5,31.8,0,NA,NNW,22,23,1011.9,NA,31,No,No
2016-04-06,Albury,7.9,26.4,0,NA,WNW,15,32,1014,7,23.2,No,No
2016-04-07,Albury,5.3,22.5,0,NA,SSW,11,36,1020.9,NA,22.1,No,No
2016-04-08,Albury,11.4,19.7,0,NA,WSW,9,64,1021.8,4,16.7,No,No
2016-04-09,Albury,4.8,23.1,0.4,NA,WSW,19,33,1020.2,NA,22.9,No,No
2016-04-10,Albury,6.1,24,0,NA,W,17,42,1018.4,2,21.9,No,No
2016-04-11,Albury,8.7,24.9,0,NA,W,17,36,1017.8,NA,24.5,No,No
2016-04-12,Albury,8.4,24.7,0,NA,SSW,9,39,1019.7,NA,24.3,No,No
